id,name,short,desc,cost,isBonus,isGolden,spritePath,effectPlugin,extra1,extra2,source,tags,spriteAuthor
techlock,科技封锁,降低装配点数,舰船装配点数 - %s,3,FALSE,,graphics/icons/ungp/techlock.png,data.scripts.ungprules.impl.character.UNGP_TechLock,,,,,影之光√
galatia_underachiever,学院差生,降低指挥能力,"战斗开始时命令点数-{%s},且整场战斗中命令点数恢复速度-{%s}",2,FALSE,,graphics/icons/ungp/galatia_underachiever.png,data.scripts.ungprules.impl.character.UNGP_GalatiaUnderachiever,,,,,议长√
,,,,,,,,,,,,,
naval_treaty,海军条约,"舰船混搭时,降低最大战备","舰队舰船设计类型超过{%s}种时,每超出一种将使最大战备降低{%s}",4,FALSE,,graphics/icons/ungp/naval_treaty.png,data.scripts.ungprules.impl.fleet.UNGP_NavalTreaty,,,,,和莱√
deep_space_fear,深空恐惧,超空间中感应器性能下降,"在超空间中,舰队感应器强度x{%s},感应器截面/被探测范围x{%s}",1,FALSE,,graphics/icons/ungp/deep_space_fear.png,data.scripts.ungprules.impl.fleet.UNGP_DeepSpaceFear,,,,,议长√
ancient_threat,远古威胁,"在余辉星系时,降低最大战备","在余辉星系时, 舰船最大战备 -%s",1,FALSE,,graphics/icons/ungp/ancient_threat.png,data.scripts.ungprules.impl.fleet.UNGP_AncientThreat,,,,,和莱√
disarmament_agreement,裁军协定,舰船超过一定数量时提高维护费,"舰队成员数量超过{%s}艘时,每超出一艘,全体舰船维护所需补给提高{%s}",3,FALSE,,graphics/icons/ungp/disarmament_agreement.png,data.scripts.ungprules.impl.fleet.UNGP_DisarmamentAgreement,,,,,议长√
,,,,,,,,,,,,,
low_repairtech,低效维修技术,削弱舰船维护,舰船的维修与战备恢复速度 - %s,1,FALSE,,graphics/icons/ungp/low_repairtech.png,data.scripts.ungprules.impl.member.UNGP_LowRepairTech,,,,,和莱√
dangerous_sector,危险星域,增强特殊地形负面效果,因特殊地形造成的战备CR下降效果x %s,1,FALSE,,graphics/icons/ungp/dangerous_sector.png,data.scripts.ungprules.impl.member.UNGP_DangerousSector,,,,,影之光√
,,,,,,,,,,,,,
edamage_increase,海军竞争,提高敌方输出,敌方输出伤害 x %s,3,FALSE,,graphics/icons/ungp/edamage_increase.png,data.scripts.ungprules.impl.combat.UNGP_EnemyDamageIncrease,,,,,议长√
edamage_decrease,近卫军团,提高敌方抗性,敌方承受伤害 x %s,4,FALSE,,graphics/icons/ungp/edamage_decrease.png,data.scripts.ungprules.impl.combat.UNGP_EnemyDamageTakenReduction,,,,,和莱√
low_interchangeability,低互换性,提高武器及引擎维修时间,我方舰船武器和引擎所受伤害及下线后所需维修时间 x %s,2,FALSE,,graphics/icons/ungp/low_interchangeability.png,data.scripts.ungprules.impl.combat.UNGP_LowIInterchangeability,,,,,和莱√
wholesale_shells,批发炮弹,部分弹药受潮,武器发射非激光/等离子类型射弹时有 %s 概率伤害 x %s,1,FALSE,,graphics/icons/ungp/wholesale_shells.png,data.scripts.ungprules.impl.combat.UNGP_WholeShells,我方合计伤害减少:,,,,议长√
twice_the_effort,整倍功半,整备速率影响战机性能,"战机伤害及抗性取决于航母整备速率,整备速率为{%s}时性能下降最高{%s}",2,FALSE,,graphics/icons/ungp/twice_the_effort.png,data.scripts.ungprules.impl.combat.UNGP_TwiceTheEffort,当前战机性能:,,,,议长√
oppressive_distance,高压视距,提高敌方射程及侦测范围,敌方武器射程及侦测范围 + %s,3,FALSE,,graphics/icons/ungp/oppressive_distance.png,data.scripts.ungprules.impl.combat.UNGP_OppressiveDistance,,,,,议长√
blocked_flux_conduits,幅能导流阻塞,开启护盾时幅能耗散下降,"我方舰船开启护盾时,幅能耗散 -{%s}",3,FALSE,,graphics/icons/ungp/blocked_flux_conduits.png,data.scripts.ungprules.impl.combat.UNGP_BlockedFluxConduits,幅能耗散 - ,,,,议长√
century_war,世纪战争,加强敌方空间站,敌方空间站承受伤害降低{%s}，射程提高{%s},1,FALSE,,graphics/icons/ungp/century_war.png,data.scripts.ungprules.impl.combat.UNGP_CenturyWar,,,,,议长√
fragment_graveyard,破片坟场,"飞溅的碎片, 阴魂不散","敌我舰船被摧毁时产生的残骸提速{%s}, 且质量增加{%s}",1,FALSE,,graphics/icons/ungp/fragment_graveyard.png,data.scripts.ungprules.impl.combat.UNGP_FragmentGraveyard,,,,,议长√
order66,Order 66,停火!这里是友军!,我方友军互相造成的伤害 +{%s},1,FALSE,,graphics/icons/ungp/order66.png,data.scripts.ungprules.impl.combat.UNGP_Order66,,,,,议长√
,,,,,,,,,,,,,
trade_embargo,贸易封锁,流通性受阻,玩家殖民地附近{%s}光年内与玩家敌对的每个市场都会使该殖民地降低{%s}流通性,1,FALSE,,graphics/icons/ungp/trade_embargo.png,data.scripts.ungprules.impl.economy.UNGP_TradeEmbargo,,,,,议长√
spy,间谍渗透,稳定性受阻,玩家殖民地附近{%s}光年内与玩家敌对的每个市场都会使该殖民地降低{%s}稳定性,1,FALSE,,graphics/icons/ungp/spy.png,data.scripts.ungprules.impl.economy.UNGP_Spy,,,,,议长√
,,,,,,,,,,,,,
no_way_back,无路可退,减少规则重选次数,"确认规则后,专家规则重选次数的获得速率 x {%s} (每年一次变为每{%s}年一次)",1,FALSE,,graphics/icons/ungp/no_way_back.png,data.scripts.ungprules.impl.other.UNGP_NoWayBack,,,,,议长√
work_hard,好好干活!,你是一名资本家,"陆战队与船员数量比率低于{%s}时,每天有{%s}的概率发生暴动,随机战舰战备损失{%s},并且该船上{%s}的船员将会死于暴动",2,FALSE,,graphics/icons/ungp/work_hard.png,data.scripts.ungprules.impl.other.UNGP_WorkHard,"船员发生了暴动, %s 遭殃了! 一共有 %s 名船员不幸离世...","当前陆战队员数量不足,你还需要{%s}名陆战队才能遏制暴动的发生.",,,和莱√
monotonous_teller,穷编剧的剧本,持续损失故事点,每{%s}天损失{%s}点故事点，直至其归零,2,FALSE,,graphics/icons/ungp/monotonous_teller.png,data.scripts.ungprules.impl.other.UNGP_MonotonousTeller,"上层叙事的观众认为你的故事仍不够精彩, 扣除了你 %s 点故事点...",,,,议长√
,,,,,,,,,,,,,
tech_revolution,科技革命,提高装配点数,舰船装配点数 + %s ,-3,TRUE,TRUE,graphics/icons/ungp/tech_revolution.png,data.scripts.ungprules.impl.character.UNGP_TechRevolution,,,,,影之光√
hss_phoenix,HSS Phoenix,提高旗舰:攻势的性能,"当旗舰为攻势系列战舰(id带有onslaught),该舰船获得{%s}结构,装甲,幅能加成,{%s}速度与机动加成及{%s}最大战备值",-4,TRUE,TRUE,graphics/icons/ungp/hss_phoenix.png,data.scripts.ungprules.impl.member.UNGP_HssPhoenix,,,,,议长√
shield_specialization,护盾专精,提高护盾能力,"舰船护盾抗性,护盾转向/展开速率提高{%s},护盾维持降低{%s}",-4,TRUE,TRUE,graphics/icons/ungp/shield_specialization.png,data.scripts.ungprules.impl.member.UNGP_ShieldSpecialization,,,,,议长√
stay_calm,临危不惧,即将被高伤导弹击中时开启子弹时间,"即将在{%s}秒内命中旗舰的导弹/鱼雷总伤害超过最大结构的{%s}时,时间流速变为{%s},持续{%s}秒.这个效果每{%s}秒才能触发一次",-2,TRUE,TRUE,graphics/icons/ungp/stay_calm.png,data.scripts.ungprules.impl.combat.UNGP_StayCalm,还剩下 %s 秒,%s 秒后冷却完毕,,,议长√
gravity_disruptor,引力干涉仪,干扰时间流速,"我方舰船时间流速+{%s},敌方舰船时间流速-{%s}",-3,TRUE,TRUE,graphics/icons/ungp/gravity_disruptor.png,data.scripts.ungprules.impl.combat.UNGP_GravityDisruptor,现在你的时间流速为 %s 倍,,,,议长√
,,,,,,,,,,,,,
ew_smog,电子烟幕,提升电子战强度上限,我方电子战强度上限 +{%s},-4,TRUE,,graphics/icons/ungp/ew_smog.png,data.scripts.ungprules.impl.character.UNGP_EwSmog,,,,,议长√
,,,,,,,,,,,,,
salvaging,优化残骸整理工序,强化垃圾佬,+ %s 打捞的收益(包括稀有物资),-2,TRUE,,graphics/icons/ungp/salvaging.png,data.scripts.ungprules.impl.fleet.UNGP_Salvaging,,,,,和莱√
efficient_fuel,远洋专长,提高航行距离,舰队燃油消耗 x %s,-2,TRUE,,graphics/icons/ungp/efficient_fuel.png,data.scripts.ungprules.impl.fleet.UNGP_EfficientFuel,,,,,影之光√
storm_rider,风暴骑手,"""狂风!听我号令!""",你的舰队不会在超空间风暴中受损,-1,TRUE,,graphics/icons/ungp/storm_rider.png,data.scripts.ungprules.impl.fleet.UNGP_StormRider,,,,,和莱√
bustling_fungus,爆裂真菌,原地不动时休整舰队,"大地图中,舰队静止不动{%s}天后,舰船维修速度+{%s},每月维护补给-{%s}",-1,TRUE,,graphics/icons/ungp/bustling_fungus.png,data.scripts.ungprules.impl.fleet.UNGP_BustlingFungus,开始休整...,,,,议长√
,,,,,,,,,,,,,
more_logistics,超额后勤改造,提高后勤插件上限,后勤插件上限 + %s,-1,TRUE,,graphics/icons/ungp/more_logistics.png,data.scripts.ungprules.impl.member.UNGP_MoreLogistics,,,,,和莱√
wide_radar,广域雷达,提高感应器强度,舰船感应器强度 + %s,-1,TRUE,,graphics/icons/ungp/wide_radar.png,data.scripts.ungprules.impl.member.UNGP_WideRadar,,,,,影之光√
elite_reserves,精英预备队,额外船员能提供最大战备,"超出必要船员的船员数额外提供最大战备,最多提供{%s}",-3,TRUE,,graphics/icons/ungp/elite_reserves.png,data.scripts.ungprules.impl.member.UNGP_EliteReserves,,,,,和莱√
,,,,,,,,,,,,,
infighting_book,接近战进阶教本,增强低射程射弹武器,舰船原始射程低于 %s 的射弹武器伤害 + %s,-3,TRUE,,graphics/icons/ungp/infighting_book.png,data.scripts.ungprules.impl.combat.UNGP_InfightingBook,,,,,和莱√
take_highland,我占有高地!,提高在信标附近的射程,在信标点附近{%s}距离的我方战舰武器射程+{%s},-3,TRUE,,graphics/icons/ungp/take_highland.png,data.scripts.ungprules.impl.combat.UNGP_TakeHighLand,"附近存在信标, +20% 射程",,,,影之光√
close_formation,密集阵型,舰船聚集时提高护盾抗性及耗散,"舰船相距{%s}以内时, 护盾抗性及幅能耗散x %s",-2,TRUE,,graphics/icons/ungp/close_formation.png,data.scripts.ungprules.impl.combat.UNGP_CloseFormation,护盾抗性及幅能耗散 x,,,,议长√
experimental_shunt,试验性分流管,提供硬幅能耗散能力,我方舰船在战斗中获得{%s}的硬幅能耗散能力,-1,TRUE,,graphics/icons/ungp/experimental_shunt.png,data.scripts.ungprules.impl.combat.UNGP_ExperimentalShunt,,,,,议长√
critical_hit,致命一击,旗舰伤害概率翻倍,旗舰的任意伤害都有{%s}的概率翻倍(仅在原伤害高于100时显示提示),-2,TRUE,,graphics/icons/ungp/critical_hit.png,data.scripts.ungprules.impl.combat.UNGP_CriticalHit,,,,,议长√
seer,伏击艺术家,揭开他们的面纱,"每冷却{%s}秒, 就清除战场中的战争迷雾{%s}秒",-1,TRUE,,graphics/icons/ungp/seer.png,data.scripts.ungprules.impl.combat.UNGP_Seer,,,,,议长√
,,,,,,,,,,,,,
collector,收集者,旗舰斩杀低结构舰船,旗舰对当前结构小于等于{%s}的敌方舰船结构造成伤害时，处决该舰船，并获得{%s}，对战机无效,-1,TRUE,,graphics/icons/ungp/collector.png,data.scripts.ungprules.impl.combat.UNGP_Collector,,,英仙座联盟,,议长√
,,,,,,,,,,,,,
mercantilism,重商主义,提高殖民地流通性,提高殖民地{%s}流通性， 若流通性超出{%s}则加成{%s},-2,TRUE,,graphics/icons/ungp/mercantilism.png,data.scripts.ungprules.impl.economy.UNGP_Mercantilism,,,,,议长√
glados,GLaDos,提高Alpha核心的增益,装载Alpha核心的工厂产量+ {%s},-2,TRUE,,graphics/icons/ungp/glados.png,data.scripts.ungprules.impl.economy.UNGP_GLaDos,,,,,议长√
industrial_zone,工业开发区,提高工业设施上限,"工业设施上限+{%s},但殖民地规模小于等于{%s}时,额外的工业设施会导致产出-{%s}",-3,TRUE,,graphics/icons/ungp/industrial_zone.png,data.scripts.ungprules.impl.economy.UNGP_IndustrialZone,,,,,议长√
black_in_black,黑市鬼才,畅游黑市,所有势力在黑市方面对你保持最低怀疑度,-2,TRUE,,graphics/icons/ungp/black_in_black.png,data.scripts.ungprules.impl.economy.UNGP_BlackInBlack,,,,,议长√
,,,,,,,,,,,,,
lobster_perday,优质海鲜,龙虾之主,"货舱未满时,每天获得{%s}个蓝龙虾",0,TRUE,,graphics/icons/cargo/lobster.png,data.scripts.ungprules.impl.other.UNGP_LobsterPerDay,,,潜伏的混沌,milestone,[-<虾王>-]
birthday_present,生日礼物,一年后获得随机正面规则,在选择本规则后，{%s}年后随机获得一个正面规则并失去本规则(中途更换规则时，只要不舍弃本规则，获得礼物的时间就不会改变),0,TRUE,,graphics/icons/ungp/milestones/birthday_present.png,data.scripts.ungprules.impl.other.UNGP_BirthdayPresent,生日快乐！您随机获得了{%s},,你忠实的部下/家人/爱人,milestone,议长√
entropius_mind,熵变之心,每周随机切换规则,"每周随机洗回所有规则, 并完全随机地抽取数个正面或负面规则.",0,TRUE,,graphics/icons/ungp/milestones/entropius_mind.png,data.scripts.ungprules.impl.other.UNGP_EntropiusMind,你突然心生一阵恍惚...,,掷骰子的上帝,milestone,default
,,,,,,,,,,,,,
ying,阴,随机选择负面规则,"专家模式规则选择完毕并确认后,删除该规则,随机添加一个未被选中的{%s}.当选择了""阳""时,也会随机到未被选中的{%s}",2,FALSE,,graphics/icons/ungp/ying.png,data.scripts.ungprules.impl.other.UNGP_Ying,您随机获得了{%s},,,no_roll,议长√
yang,阳,随机选择正面规则,"专家模式规则选择完毕并确认后,删除该规则,随机添加一个未被选中的{%s}.当选择了""阴""时,也会随机到未被选中的{%s}",-2,TRUE,,graphics/icons/ungp/yang.png,data.scripts.ungprules.impl.other.UNGP_Yang,您随机获得了{%s},,,no_roll,议长√
rain_pour,祸不单行,随机选择负面规则,"专家模式规则选择完毕并确认后,删除该规则,随机获得{%s}个{%s}",4,FALSE,,graphics/icons/ungp/rain_pour.png,data.scripts.ungprules.impl.other.UNGP_RainPour,您随机获得了{%s},,,no_roll,议长√